v8-version,8,1,307,31,-node.33,0
code-creation,Builtin,3,2080,0x1368500,886,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,2083,0x1368880,124,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,2086,0x1368900,124,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,2088,0x1368980,561,ArrayIndexOf
code-creation,Builtin,3,2091,0x1368bc0,12,ArrayPop
code-creation,Builtin,3,2093,0x1368be0,674,ArrayPrototypePop
code-creation,Builtin,3,2096,0x1368ea0,12,ArrayPush
code-creation,Builtin,3,2098,0x1368ec0,2762,ArrayPrototypePush
code-creation,Builtin,3,2101,0x13699a0,12,ArrayShift
code-creation,Builtin,3,2103,0x13699c0,12,ArrayUnshift
code-creation,Builtin,3,2106,0x13699e0,1102,CloneFastJSArray
code-creation,Builtin,3,2108,0x1369e40,2530,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,2111,0x136a840,1102,ExtractFastJSArray
code-creation,Builtin,3,2114,0x136aca0,287,ArrayPrototypeEntries
code-creation,Builtin,3,2117,0x136adc0,271,ArrayPrototypeKeys
code-creation,Builtin,3,2120,0x136aee0,287,ArrayPrototypeValues
code-creation,Builtin,3,2122,0x136b000,4332,ArrayIteratorPrototypeNext
code-creation,Builtin,3,2125,0x136c100,4456,FlattenIntoArray
code-creation,Builtin,3,2128,0x136d280,4348,FlatMapIntoArray
code-creation,Builtin,3,2130,0x136e380,512,ArrayPrototypeFlat
code-creation,Builtin,3,2133,0x136e5a0,556,ArrayPrototypeFlatMap
code-creation,Builtin,3,2136,0x136e7e0,12,ArrayBufferConstructor
code-creation,Builtin,3,2138,0x136e800,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,2142,0x136e820,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,2145,0x136e840,12,ArrayBufferIsView
code-creation,Builtin,3,2147,0x136e860,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,2150,0x136e880,608,AsyncFunctionEnter
code-creation,Builtin,3,2153,0x136eb00,161,AsyncFunctionReject
code-creation,Builtin,3,2155,0x136ebc0,153,AsyncFunctionResolve
code-creation,Builtin,3,2158,0x136ec60,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,2161,0x136ec80,1266,AsyncFunctionAwaitCaught
code-creation,Builtin,3,2164,0x136f180,1266,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,2167,0x136f680,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,2170,0x136f740,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,2173,0x136f800,12,BigIntConstructor
code-creation,Builtin,3,2175,0x136f820,12,BigIntAsUintN
code-creation,Builtin,3,2178,0x136f840,12,BigIntAsIntN
code-creation,Builtin,3,2180,0x136f860,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,2183,0x136f880,12,BigIntPrototypeToString
code-creation,Builtin,3,2186,0x136f8a0,12,BigIntPrototypeValueOf
code-creation,Builtin,3,2188,0x136f8c0,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,2191,0x136f8e0,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,2194,0x136f900,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,2197,0x136f920,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,2200,0x136f940,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,2205,0x136f960,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,2208,0x136f980,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,2210,0x136f9a0,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,2213,0x136f9c0,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,2216,0x136f9e0,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,2220,0x136fa00,12,CallSitePrototypeGetThis
code-creation,Builtin,3,2222,0x136fa20,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,2225,0x136fa40,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,2228,0x136fa60,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,2231,0x136fa80,12,CallSitePrototypeIsEval
code-creation,Builtin,3,2234,0x136faa0,12,CallSitePrototypeIsNative
code-creation,Builtin,3,2236,0x136fac0,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,2239,0x136fae0,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,2242,0x136fb00,12,CallSitePrototypeToString
code-creation,Builtin,3,2245,0x136fb20,12,ConsoleDebug
code-creation,Builtin,3,2247,0x136fb40,12,ConsoleError
code-creation,Builtin,3,2250,0x136fb60,12,ConsoleInfo
code-creation,Builtin,3,2252,0x136fb80,12,ConsoleLog
code-creation,Builtin,3,2255,0x136fba0,12,ConsoleWarn
code-creation,Builtin,3,2257,0x136fbc0,12,ConsoleDir
code-creation,Builtin,3,2260,0x136fbe0,12,ConsoleDirXml
code-creation,Builtin,3,2262,0x136fc00,12,ConsoleTable
code-creation,Builtin,3,2265,0x136fc20,12,ConsoleTrace
code-creation,Builtin,3,2267,0x136fc40,12,ConsoleGroup
code-creation,Builtin,3,2270,0x136fc60,12,ConsoleGroupCollapsed
code-creation,Builtin,3,2272,0x136fc80,12,ConsoleGroupEnd
code-creation,Builtin,3,2275,0x136fca0,12,ConsoleClear
code-creation,Builtin,3,2277,0x136fcc0,12,ConsoleCount
code-creation,Builtin,3,2280,0x136fce0,12,ConsoleCountReset
